"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2018,"USA:TN","environmental/other","PDS000019597.9",9,18,"Montevideo","Other","USA","turkey",0,"Other",1,"1","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0"
2019,"USA:IA","environmental/other","PDS000019597.9",10,19,"Montevideo","Other","USA","turkey",0,"Other",1,"1","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0"
2011,"USA:GA","environmental/other","PDS000028206.3",18,16,"Montevideo","Other","USA","beef",0,"Other",NA,"1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2014,"USA","clinical","PDS000030176.5",7,NA,"Heidelberg","Enteritidis","USA","stool",NA,"4:r:1,2",NA,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2013,"USA: NM","environmental/other","PDS000032528.3",0,NA,"Kentucky","Kentucky","USA","turkey",NA,"8:i:z6",0.729941291585127,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
2013,"USA: NM","environmental/other","PDS000032528.3",0,NA,"Kentucky","Kentucky","USA","turkey",NA,"8:i:z6",0.729941291585127,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
2009,"USA:MD","environmental/other","PDS000032528.3",14,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.754112489213589,"1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0"
2010,"USA:CT","environmental/other","PDS000032528.3",3,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.738788513175261,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
2009,"USA:CT","environmental/other","PDS000032528.3",3,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.738788513175261,"1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","1"
2009,"USA:CT","environmental/other","PDS000032528.3",3,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.743386788717823,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
2009,"USA:NY","environmental/other","PDS000032528.3",1,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.743386788717823,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
2009,"USA:NY","environmental/other","PDS000032528.3",1,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.743386788717823,"1","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0"
2016,"USA:MN","environmental/other","PDS000042380.2",34,4,"Albert","Other","USA","turkey",1,"Other",0.666666666666667,"1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0"
NA,NA,"clinical","PDS000042380.2",0,10,"Albert","Other",NA,NA,1,"Other",0.666666666666667,"1","1","1","0","0","0","0","1","1","1","1","1","0","1","0","0"
